Unnamed: 0,ndpi_stats-pcm_new_System-Date,ndpi_stats-pcm_new_System-Time,ndpi_stats-pcm_new_Socket 0-EXEC,ndpi_stats-pcm_new_Socket 0-IPC,ndpi_stats-pcm_new_Socket 0-FREQ,ndpi_stats-pcm_new_Socket 0-AFREQ,ndpi_stats-pcm_new_Socket 0-L3MISS,ndpi_stats-pcm_new_Socket 0-L2MISS,ndpi_stats-pcm_new_Socket 0-L3HIT,ndpi_stats-pcm_new_Socket 0-L2HIT,ndpi_stats-pcm_new_Socket 0-L3MPI,ndpi_stats-pcm_new_Socket 0-L2MPI,ndpi_stats-pcm_new_Socket 0-L3OCC,ndpi_stats-pcm_new_Socket 0-LMB,ndpi_stats-pcm_new_Socket 0-RMB,ndpi_stats-pcm_new_Socket 0-READ,ndpi_stats-pcm_new_Socket 0-WRITE,ndpi_stats-pcm_new_Socket 0-LOCAL,ndpi_stats-pcm_new_Socket 0-TEMP,ndpi_stats-pcm_new_Socket 0-INST,ndpi_stats-pcm_new_Socket 0-ACYC,ndpi_stats-pcm_new_Socket 0-TIME(ticks),ndpi_stats-pcm_new_Socket 0-PhysIPC,ndpi_stats-pcm_new_Socket 0-PhysIPC%,ndpi_stats-pcm_new_Socket 0-INSTnom,ndpi_stats-pcm_new_Socket 0-INSTnom%,ndpi_stats-pcm_new_SKT0 Core C-State-C0res%,ndpi_stats-pcm_new_SKT0 Core C-State-C1res%,ndpi_stats-pcm_new_SKT0 Core C-State-C3res%,ndpi_stats-pcm_new_SKT0 Core C-State-C6res%,ndpi_stats-pcm_new_SKT0 Core C-State-C7res%,ndpi_stats-pcm_new_SKT0 Package C-State-C0res%,ndpi_stats-pcm_new_SKT0 Package C-State-C2res%,ndpi_stats-pcm_new_SKT0 Package C-State-C3res%,ndpi_stats-pcm_new_SKT0 Package C-State-C6res%,ndpi_stats-pcm_new_SKT0 Package C-State-C7res%,ndpi_stats-pcm_new_Proc Energy (Joules)-SKT0,ndpi_stats-pcm_new_DRAM Energy (Joules)-SKT0,ndpi_stats-pcm_new_LLCRDMISSLAT (ns)-SKT0,ndpi_stats-pcm_new_UncFREQ (Ghz)-SKT0,ndpi_stats-pcm_new_Core3 (Socket 0)-EXEC,ndpi_stats-pcm_new_Core3 (Socket 0)-IPC,ndpi_stats-pcm_new_Core3 (Socket 0)-FREQ,ndpi_stats-pcm_new_Core3 (Socket 0)-AFREQ,ndpi_stats-pcm_new_Core3 (Socket 0)-L3MISS,ndpi_stats-pcm_new_Core3 (Socket 0)-L2MISS,ndpi_stats-pcm_new_Core3 (Socket 0)-L3HIT,ndpi_stats-pcm_new_Core3 (Socket 0)-L2HIT,ndpi_stats-pcm_new_Core3 (Socket 0)-L3MPI,ndpi_stats-pcm_new_Core3 (Socket 0)-L2MPI,ndpi_stats-pcm_new_Core3 (Socket 0)-L3OCC,ndpi_stats-pcm_new_Core3 (Socket 0)-LMB,ndpi_stats-pcm_new_Core3 (Socket 0)-RMB,ndpi_stats-pcm_new_Core3 (Socket 0)-C0res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C1res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C3res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C6res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C7res%,ndpi_stats-pcm_new_Core3 (Socket 0)-TEMP,ndpi_stats-pcm_new_Core3 (Socket 0)-INST,ndpi_stats-pcm_new_Core3 (Socket 0)-ACYC,ndpi_stats-pcm_new_Core3 (Socket 0)-TIME(ticks),ndpi_stats-pcm_new_Core3 (Socket 0)-PhysIPC,ndpi_stats-pcm_new_Core3 (Socket 0)-PhysIPC%,ndpi_stats-pcm_new_Core3 (Socket 0)-INSTnom,ndpi_stats-pcm_new_Core3 (Socket 0)-INSTnom%,pcm-pcie_new_skt-0_PCIRdCur,pcm-pcie_new_skt-0_RFO,pcm-pcie_new_skt-0_CRd,pcm-pcie_new_skt-0_DRd,pcm-pcie_new_skt-0_ItoM,pcm-pcie_new_skt-0_PRd,pcm-pcie_new_skt-0_WiL,pcm-memory_new_SKT0-Ch0Read,pcm-memory_new_SKT0-Ch0Write,pcm-memory_new_SKT0-Ch1Read,pcm-memory_new_SKT0-Ch1Write,pcm-memory_new_SKT0-Ch2Read,pcm-memory_new_SKT0-Ch2Write,pcm-memory_new_SKT0-Ch3Read,pcm-memory_new_SKT0-Ch3Write,pcm-memory_new_SKT0-Mem Read (MB/s),pcm-memory_new_SKT0-Mem Write (MB/s),pcm-memory_new_SKT0-P. Write (T/s),pcm-memory_new_SKT0-Memory (MB/s),pcm-memory_new_System-Read,pcm-memory_new_System-Write,pcm-memory_new_System-Memory,llc-way,input-rate,throughput,latency
0,2023-11-28,15:23:28.211,0.48,2.43,0.2,1.31,0.07,40.07,1.0,0.52,0.0,0.0017,3800.0,2.0,0.0,0.03,0.03,100.0,53.0,23173.93,9543.92,2402.52,4.86,121.41,0.96,24.12,15.18,16.72,0.0,68.09,0.0,100.0,0.0,0.0,0.0,0.0,39.52,7.44,3137883.58,2.7,2.58,1.97,1.31,1.33,0.01,17.8,1.0,0.13,0.0,0.0029,0.0,0.0,0.0,98.91,1.09,0.0,0.0,0.0,56.0,6205.38,3149.41,2402.52,3.94,98.52,5.17,129.19,9157736.0,6692322.0,644462.0,67755828.0,1025836.0,0.0,624694.0,4.77,4.62,12.3,12.15,4.64,4.49,4.48,4.32,26.19,25.58,4125614484.0,51.77,26.19,25.58,51.77,20,5.59,5.51,12144.5
1,2023-11-28,15:23:29.211,0.48,2.43,0.2,1.31,0.04,39.85,1.0,0.52,0.0,0.0017,4640.0,3.0,0.0,0.02,0.02,100.0,53.0,23106.51,9526.48,2400.24,4.85,121.28,0.96,24.07,15.18,16.9,0.0,67.92,0.0,100.0,0.0,0.0,0.0,0.0,39.44,7.44,0.0,2.7,2.59,1.97,1.31,1.33,0.01,17.72,1.0,0.13,0.0,0.0029,0.0,0.0,0.0,98.84,1.16,0.0,0.0,0.0,55.0,6208.56,3144.03,2400.24,3.95,98.74,5.17,129.33,8938286.0,7193704.0,897624.0,66819942.0,1078602.0,0.0,651658.0,3.59,3.52,11.64,11.57,3.51,3.43,3.59,3.5,22.33,22.03,4265342668.0,44.36,22.33,22.03,44.36,20,5.59,5.51,12144.5
2,2023-11-28,15:23:30.211,0.48,2.43,0.2,1.31,0.03,39.65,1.0,0.53,0.0,0.0017,4800.0,1.0,0.0,0.02,0.02,100.0,54.0,23189.85,9526.23,2400.08,4.87,121.72,0.97,24.16,15.17,16.85,0.01,67.97,0.0,100.0,0.0,0.0,0.0,0.0,39.45,7.43,0.0,2.7,2.6,1.99,1.31,1.33,0.01,17.64,1.0,0.13,0.0,0.0028,0.0,0.0,0.0,98.89,1.11,0.0,0.0,0.0,55.0,6247.83,3145.62,2400.08,3.97,99.31,5.21,130.16,9333002.0,6746544.0,949200.0,65697632.0,1040550.0,0.0,637700.0,3.21,3.08,11.14,11.0,3.13,2.99,3.18,3.04,20.66,20.11,4268340705.0,40.77,20.66,20.11,40.77,20,5.59,5.51,12144.5
3,2023-11-28,15:23:31.211,0.48,2.43,0.2,1.31,0.03,40.04,1.0,0.52,0.0,0.0017,5080.0,3.0,0.0,0.02,0.02,100.0,53.0,23146.39,9527.36,2399.96,4.86,121.47,0.96,24.11,15.16,16.81,0.01,68.02,0.0,100.0,0.0,0.0,0.0,0.0,39.41,7.39,0.0,2.7,2.58,1.97,1.31,1.33,0.01,17.81,1.0,0.13,0.0,0.0029,0.0,0.0,0.0,98.9,1.1,0.0,0.0,0.0,55.0,6187.44,3146.31,2399.96,3.93,98.33,5.16,128.9,9360078.0,6914166.0,703430.0,69676908.0,1003254.0,0.0,633346.0,2.91,2.78,10.83,10.69,2.73,2.58,2.75,2.6,19.22,18.65,4264205971.0,37.87,19.22,18.65,37.87,20,5.59,5.51,12144.5
4,2023-11-28,15:23:32.211,0.48,2.43,0.2,1.31,0.03,39.92,1.0,0.53,0.0,0.0017,5480.0,1.0,0.0,0.02,0.02,100.0,54.0,23126.26,9525.89,2400.21,4.86,121.39,0.96,24.09,15.17,16.88,0.01,67.94,0.0,100.0,0.0,0.0,0.0,0.0,39.49,7.39,0.0,2.7,2.58,1.97,1.31,1.33,0.01,17.76,1.0,0.13,0.0,0.0029,0.0,0.0,0.0,98.87,1.13,0.0,0.0,0.0,55.0,6200.61,3144.89,2400.21,3.94,98.58,5.17,129.17,8789270.0,7045332.0,1225728.0,66253418.0,1068592.0,0.0,646338.0,3.01,2.73,10.89,10.61,2.77,2.5,2.81,2.53,19.48,18.37,4263977331.0,37.85,19.48,18.37,37.85,20,5.59,5.51,12144.5
5,2023-11-28,15:23:33.211,0.48,2.43,0.2,1.31,0.04,39.91,1.0,0.52,0.0,0.0017,5560.0,1.0,0.0,0.02,0.02,100.0,53.0,23113.1,9516.38,2400.07,4.86,121.44,0.96,24.07,15.18,17.22,0.01,67.6,0.0,100.0,0.0,0.0,0.0,0.0,39.4,7.38,0.37,2.7,2.58,1.97,1.31,1.32,0.01,17.74,1.0,0.13,0.0,0.0029,0.0,0.0,0.0,98.84,1.16,0.0,0.0,0.0,55.0,6196.32,3140.7,2400.07,3.95,98.65,5.16,129.08,9455922.0,6765346.0,739396.0,66433206.0,1036084.0,0.0,638204.0,2.73,2.48,10.63,10.4,2.45,2.2,2.46,2.22,18.26,17.29,4268311284.0,35.56,18.26,17.29,35.56,20,5.59,5.51,12144.5
6,2023-11-28,15:23:34.211,0.48,2.42,0.2,1.31,0.03,40.0,1.0,0.52,0.0,0.0017,5960.0,4.0,0.0,0.02,0.02,100.0,53.0,23078.11,9523.33,2400.0,4.85,121.17,0.96,24.04,15.16,16.9,0.02,67.92,0.0,100.0,0.0,0.0,0.0,0.0,39.43,7.37,0.0,2.7,2.58,1.97,1.31,1.33,0.01,17.8,1.0,0.13,0.0,0.0029,0.0,0.0,0.0,98.87,1.13,0.0,0.0,0.0,55.0,6180.05,3144.53,2400.0,3.93,98.27,5.15,128.75,9312772.0,6828192.0,693210.0,70819224.0,1012466.0,0.0,631652.0,2.3,2.12,10.24,10.07,2.12,1.94,2.12,1.93,16.78,16.06,4264200176.0,32.84,16.78,16.06,32.84,20,5.59,5.51,12144.5
7,2023-11-28,15:23:35.211,0.48,2.43,0.2,1.31,0.03,39.92,1.0,0.53,0.0,0.0017,5960.0,2.0,0.0,0.02,0.02,100.0,53.0,23152.19,9524.97,2400.21,4.86,121.53,0.96,24.12,15.16,16.82,0.02,68.01,0.0,100.0,0.0,0.0,0.0,0.0,39.44,7.42,0.0,2.7,2.59,1.97,1.31,1.33,0.01,17.76,1.0,0.13,0.0,0.0029,0.0,0.0,0.0,98.89,1.11,0.0,0.0,0.0,55.0,6205.68,3146.11,2400.21,3.94,98.62,5.17,129.28,9022356.0,7070196.0,695030.0,70350490.0,1016106.0,0.0,624358.0,2.11,1.92,10.09,9.9,1.89,1.71,1.9,1.71,16.0,15.24,4263817720.0,31.24,16.0,15.24,31.24,20,5.59,5.51,12144.5
8,2023-11-28,15:23:36.211,0.48,2.43,0.2,1.31,0.03,40.08,1.0,0.52,0.0,0.0017,5960.0,2.0,0.0,0.02,0.01,100.0,54.0,23118.54,9530.89,2399.98,4.85,121.28,0.96,24.08,15.16,16.78,0.01,68.04,0.0,100.0,0.0,0.0,0.0,0.0,39.43,7.37,0.07,2.7,2.58,1.97,1.31,1.33,0.01,17.83,1.0,0.13,0.0,0.0029,0.0,0.0,0.0,98.94,1.06,0.0,0.0,0.0,55.0,6188.42,3147.93,2399.98,3.93,98.29,5.16,128.92,8808478.0,7201474.0,663502.0,68583046.0,1089004.0,0.0,639058.0,2.05,1.83,9.93,9.74,1.75,1.54,1.74,1.53,15.47,14.63,4268232075.0,30.11,15.47,14.63,30.11,20,5.59,5.51,12144.5
9,2023-11-28,15:23:37.211,0.48,2.42,0.2,1.31,0.03,40.11,1.0,0.52,0.0,0.0017,6080.0,1.0,0.0,0.02,0.01,100.0,53.0,22992.56,9503.4,2400.08,4.84,120.97,0.96,23.95,15.16,17.14,0.01,67.69,0.0,100.0,0.0,0.0,0.0,0.0,39.4,7.37,0.15,2.7,2.56,1.96,1.31,1.32,0.01,17.84,1.0,0.13,0.0,0.0029,0.0,0.0,0.0,98.68,1.32,0.0,0.0,0.0,55.0,6141.24,3136.48,2400.08,3.92,97.9,5.12,127.94,8986096.0,6902196.0,771890.0,68025272.0,1056496.0,14.0,628390.0,1.93,1.69,9.95,9.7,1.76,1.51,1.73,1.48,15.38,14.38,4263985092.0,29.76,15.38,14.38,29.76,20,5.59,5.51,12144.5
