TIME 2024-02-05 16:27:38
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.00          2k        40.0         0.6         0.0
       1        1.02          2k        40.0         0.0         0.0
       2        0.99          2k         0.0         0.0         0.0
       3        1.02          4k       160.0         3.6         0.0
       4        1.92        186k      2040.0        16.5         1.2
       5        0.26          1k        40.0         0.0         0.0
       6        0.23          0k         0.0         0.0         0.0
       7        0.21          0k         0.0         0.0         0.0
       8        0.23          0k        40.0         0.0         0.0
       9        0.17          0k        40.0         0.0         0.0
      10        0.94         12k       960.0         0.4         0.5
      11        0.13          0k         0.0         0.0         0.0
      12        0.23          0k         0.0         0.0         0.0
      13        0.24          0k         0.0         0.0         0.0
      14        0.50          2k       120.0         0.1         0.0
      15        0.25          0k        80.0         0.0         0.0
      16        0.19          0k         0.0         0.0         0.0
      17        0.22          0k         0.0         0.0         0.0
      18        0.24          0k         0.0         0.0         0.0
      19        0.22          0k         0.0         0.0         0.0
      20        0.32          0k         0.0         0.0         0.0
      21        0.31          0k         0.0         0.0         0.0
      22        0.28          0k         0.0         0.0         0.0
      23        0.30          0k        40.0         0.0         0.0
      24        0.32          0k        80.0         0.0         0.0
      25        0.19          0k         0.0         0.0         0.0
      26        0.25          0k         0.0         0.0         0.0
      27        0.42          1k         0.0         0.0         0.0
      28        0.25          0k         0.0         0.0         0.0
      29        0.23          0k        40.0         0.0         0.0
      30        0.12          0k         0.0         0.0         0.0
      31        0.48          0k        40.0         0.0         0.0
      32        0.25          0k         0.0         0.0         0.0
      33        0.24          0k         0.0         0.0         0.0
      34        0.20          0k         0.0         0.0         0.0
      35        0.24          0k         0.0         0.0         0.0
      36        0.21          0k         0.0         0.0         0.0
      37        0.24          0k         0.0         0.0         0.0
      38        0.25          0k        80.0         0.0         0.0
      39        0.24          0k        40.0         0.0         0.0
TIME 2024-02-05 16:27:39
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.99        467k       160.0        20.8         0.0
       1        1.01        496k        40.0         0.1         0.1
       2        0.97        465k         0.0         0.3         0.0
       3        1.01        487k       120.0       151.3         0.0
       4        3.36      22697k      1720.0       162.5         0.0
       5        0.28          4k        40.0         0.0         0.0
       6        0.12          0k         0.0         0.0         0.0
       7        0.09          1k         0.0         0.0         0.0
       8        0.21          0k        40.0         0.1         0.0
       9        0.17          0k        40.0         0.0         0.0
      10        1.44         10k      2080.0         1.2         0.4
      11        0.13          0k         0.0         0.0         0.0
      12        0.17          0k         0.0         0.0         0.0
      13        0.37          2k         0.0         0.0         0.0
      14        0.23         19k       160.0         0.0         0.0
      15        0.25          0k        80.0         0.0         0.0
      16        0.16          0k         0.0         0.0         0.0
      17        0.31          1k         0.0         0.0         0.0
      18        0.14          0k         0.0         0.0         0.0
      19        0.31          0k         0.0         0.0         0.0
